sample	community_size
MH0016	43
MH0035	12
MH0047	10
MH0049	35
MH0054	13
MH0057	7
MH0064	2
MH0065	1
MH0067	3
MH0073	7
MH0077	11
MH0082	2
MH0086	64
MH0087	38
MH0088	76
MH0096	74
MH0101	45
MH0109	61
MH0114	52
MH0119	104
MH0120	83
MH0128	65
MH0129	87
MH0132	92
MH0135	87
MH0149	74
MH0155	70
MH0161	124
MH0167	62
MH0169	65
MH0170	93
MH0177	78
MH0183	138
MH0191	129
MH0197	123
MH0206	144
MH0212	103
MH0222	140
MH0227	97
MH0229	137
MH0234	133
MH0238	124
MH0252	163
MH0253	142
MH0259	138
MH0260	143
MH0261	83
MH0264	94
MH0266	107
MH0271	119
MH0276	154
MH0281	118
MH0283	84
MH0286	128
MH0288	136
MH0289	110
MH0298	134
MH0299	83
MH0302	81
MH0308	134
MH0309	126
MH0310	106
MH0311	95
MH0314	119
MH0323	128
MH0327	84
MH0328	126
MH0329	145
MH0334	118
MH0335	86
MH0339	131
MH0343	123
MH0346	120
MH0347	103
MH0349	127
MH0354	106
MH0355	161
MH0358	84
MH0359	116
MH0361	106
MH0362	130
MH0364	139
MH0365	142
MH0366	107
MH0368	118
MH0369	122
MH0371	144
MH0372	88
MH0373	106
MH0374	135
MH0375	93
MH0376	140
MH0377	138
MH0378	121
MH0381	128
MH0382	117
MH0383	109
MH0384	120
MH0385	148
MH0386	140
MH0387	92
MH0388	112
MH0389	123
MH0390	142
MH0391	130
MH0393	100
MH0395	139
MH0396	117
MH0397	124
MH0399	155
MH0402	152
MH0404	113
MH0408	160
MH0410	102
MH0414	88
MH0416	142
MH0418	133
MH0421	144
MH0429	132
MH0430	143
MH0433	128
MH0436	140
MH0442	166
MH0444	69
MH0451	159
NG5425286	43
NG5425485	40
NG5425550	45
NG5636118	117
NG5636121	110
NG5636126	122
NG5636146	97
NG5636158	108
NG5636224	103
NG5636225	86
NG5636235	70
NG5636244	79
NG5636269	80
NG5636278	128
NG5636288	67
NG5636304	73
NG5636312	151
NG5636332	84
NG5636334	59
NG5636344	75
NG5636349	93
NG5636350	96
NG5636372	76
NG5636378	128
NG5636380	76
NG5636384	91
NG5636397	67
NG5636421	102
NG5636422	148
NG5636432	109
NG5636434	97
NG5636436	123
NG5636439	79
NG5636457	124
NG5636458	142
NG5636462	138
NG5636472	89
NG5636479	109
NG5636483	113
NG5636484	115
NG5636495	135
NG5636497	146
NG5636524	117
NG5636536	77
NG563654	108
NG5636551	118
NG5636552	99
NG5636558	111
NG5636577	91
NG563658	94
NG5636587	97
NG563660	122
NG5636604	51
NG5636628	92
NG5636646	50
NG5636655	66
NG563692	67
